Date	Title	Distance	Calories	Time	Avg HR	Max HR	Avg Pace
2018-12-31 12:12	Library Run	6.64	424	0:39:10	145	163	5:54
2018-12-28 10:36	Victoria Park	4.38	327	0:29:34	149	169	6:45
2018-12-23 11:08	Marsh Rd. 5K	5.03	368	0:31:04	155	174	6:11
2018-11-17 11:04	Oxford Cup	5	343	0:25:19	170	186	5:04
2018-11-15 13:38	Running	4.39	332	0:29:07	150	164	6:38
2018-11-12 13:01	Quarter Mile Intervals - 7	4.6	333	0:30:38	149	176	6:39
2018-11-10 11:12	Lucas Pt	5.73	372	0:30:44	152	166	5:22
2018-11-05 15:03	Oxford Cup	4.42	279	0:26:25	139	159	5:58
2018-10-30 14:50	Quarter Mile Intervals - 7	5.35	357	0:31:53	149	175	5:57
2018-10-29 14:57	Mini Oxford Cup	2.77	184	0:16:02	146	175	5:48
2018-10-25 15:30	Quarter Mile Intervals - 7	4.36	278	0:26:12	141	173	6:01
2018-10-23 15:43	Trinity3 x4	4.78	308	0:29:04	139	169	6:05
2018-10-18 15:04	Oxford Cup	4.92	285	0:23:37	152	170	4:48
2018-10-17 15:02	Quarter Mile Intervals - 7	4.01	270	0:24:16	149	171	6:03
2018-10-14 11:30	Northumberland - Green B	8.98	640	0:55:44	151	172	6:13
2018-10-10 15:53	Trinity3 x4	4.97	346	0:29:59	146	173	6:02
2018-10-08 11:01	Massassauga Rd 5K	5.24	331	0:34:28	130	137	6:34
2018-10-07 13:55	Marsh Rd 6K	6.29	397	0:41:52	129	143	6:39
2018-10-06 16:44	Marsh Rd 6K	6.31	373	0:29:37	158	177	4:42
2018-10-04 15:10	Quarter Mile Intervals - 7	4.77	302	0:31:22	137	172	6:34
2018-10-03 15:38	Oxford Cup	4.8	307	0:27:06	146	173	5:39
2018-09-25 15:45	Oxford Cup	4.81	306	0:27:21	148	169	5:41
2018-09-24 15:23	Quarter Mile Intervals - 7	4.23	248	0:27:06	132	158	6:25
2018-09-22 10:09	Northumberland - Green B	9.01	607	0:57:35	147	169	6:23
2018-09-18 14:56	Oxford Cup	4.93	305	0:25:35	155	178	5:11
2018-09-17 15:57	Mt. Trinity Loops - 4	4.19	312	0:28:17	146	166	6:45
2018-09-15 10:18	Library Run	5.88	438	0:40:58	142	155	6:58
2018-09-11 14:42	Quarter Mile Intervals - 5	4.26	294	0:26:59	149	174	6:20
2018-09-07 14:32	Oxford Cup	4.79	294	0:25:04	152	180	5:14
2018-09-03 9:10	Northumberland - Green B	9.02	715	1:00:49	158	178	6:45
2018-09-02 11:10	Oxford Flats X3	5.77	401	0:35:26	147	157	6:09
2018-08-29 10:59	Oxford Cup + Flat loop	6.72	461	0:36:05	161	184	5:22
2018-08-21 8:50	Library Run	6.57	411	0:43:00	133	161	6:32
2018-08-19 15:02	Oxford Cup	4.53	282	0:24:21	150	163	5:23
2018-08-16 11:51	Limerick - Marina	9.4	591	0:56:39	144	162	6:02
2018-08-15 15:36	Limerick - Marathon Double Loop	6.18	474	0:43:29	148	166	7:02
2018-08-13 9:14	Limerick - Dump Run	7.92	518	0:54:12	138	153	6:51
2018-08-12 11:05	Limerick - Caverly Bay Loop CCW	4.97	352	0:31:15	151	165	6:17
2018-08-11 11:06	Limerick - Caverley Bay Loop CW	4.61	347	0:31:50	149	165	6:54
2018-08-10 10:13	Limerick - Marathon Loop CW	3.39	235	0:21:42	147	167	6:25
2018-08-08 11:20	Limerick - Marina	9.41	618	0:59:00	147	164	6:16
2018-08-06 9:21	Limerick - Hell's Gate	5.2	354	0:31:53	149	164	6:08
2018-08-05 8:44	Limerick - Marathon Loop CW	3.49	255	0:24:33	146	160	7:02
2018-08-03 12:36	Limerick - Marathon Loop CW	3.44	233	0:22:00	146	163	6:24
2018-07-31 11:55	Limerick - Hell's Gate	5.21	348	0:31:51	149	165	6:07
2018-07-29 11:28	Limerick - Kerr Loop	4.85	370	0:32:34	157	171	6:43
2018-07-21 14:55	Limerick - Marathon Loop CW	3.35	254	0:22:21	155	171	6:40
2018-07-20 11:18	Limerick - Marathon Loop CW	3.48	276	0:25:20	151	171	7:17
2018-07-12 8:02	Lakeshore 5K	4.89	327	0:32:26	139	157	6:38
2018-07-01 8:48	Limerick Lake Rd 5K	4.97	332	0:30:43	144	164	6:11
2018-06-30 8:37	Limerick - Marathon Loop CW	3.48	235	0:22:35	144	162	6:30
2018-06-28 10:11	Lucas Pt	5.75	381	0:33:14	151	160	5:47
2018-06-26 9:50	Lakeshore 5K	4.89	280	0:24:38	153	174	5:02
2018-06-24 10:26	Marsh Rd 6k	6.33	414	0:41:03	141	153	6:29
2018-06-23 17:05	Massassauga - Sunrise Dr	8	493	0:44:26	144	158	5:33
2018-06-17 9:58	Limerick - Marathon Loop CW	3.49	253	0:22:33	148	166	6:28
2018-06-16 14:20	Limerick Lake Rd - 62	5.89	411	0:42:18	138	158	7:11
2018-06-13 14:47	Oxford Cup	4.78	313	0:26:37	150	187	5:34
2018-06-05 10:41	Oxford Cup	4.82	343	0:28:02	155	181	5:49
2018-05-27 10:48	Limerick - 2 Loops	6.76	554	0:46:27	157	170	6:53
