Date	Title	Distance	Calories	Time	Avg HR	Max HR	Avg Pace
2019-10-14 13:57	Cobourg Running	6.28	412	0:37:40	144	161	6:00
2019-10-13 10:53	Massassauga Rd 6k	6.15	403	0:35:43	144	159	5:48
2019-09-29 15:29	Lucas Pt	5.76	378	0:35:32	139	161	6:10
2019-09-20 14:30	Oxford Cup - 2019	5.34	340	0:27:01	160	181	5:03
2019-09-17 16:16	Oxford Flats x2	6.09	387	0:37:28	137	151	6:09
2019-09-16 15:13	Trinity3 x3	4.69	314	0:27:23	147	172	5:51
2019-09-15 12:13	Oxford Flats X3	6.7	417	0:36:04	149	169	5:23
2019-09-11 14:16	Oxford Cup	4.48	299	0:24:25	153	167	5:27
2019-09-10 16:09	Flats Intervals X7	3.86	257	0:23:58	140	167	6:13
2019-09-08 10:38	Northumberland - Green Loop	9.16	650	0:59:32	148	170	6:30
2019-09-07 16:56	Lakeshore Rd - high rd	4.27	274	0:24:29	143	158	5:44
2019-09-05 15:12	Oxford Cup	4.65	276	0:24:16	149	177	5:13
2019-09-03 15:51	Trinity3 x3	3.78	251	0:23:57	143	158	6:21
2019-09-02 15:39	Lucas Pt	5.77	355	0:32:41	143	158	5:40
2019-08-31 11:47	Limerick - Marathon Loop CCW	3.48	297	0:23:18	167	178	6:42
2019-08-31 11:24	Limerick - Marathon Loop CW	3.12	267	0:21:26	164	179	6:52
2019-08-30 17:08	Limerick - Hell's Gate	5.26	346	0:31:07	150	174	5:55
2019-08-24 15:57	Limerick - Marathon Loop CCW	3.52	280	0:23:28	158	174	6:40
2019-08-24 15:33	Limerick - Marathon Loop CW	3.53	237	0:23:08	142	165	6:33
2019-08-23 12:19	Limerick - Caverley Bay Loop CW	4.91	355	0:31:49	150	174	6:29
2019-08-22 10:15	Limerick - Hell's Gate	5.18	339	0:31:55	144	159	6:10
2019-08-10 13:55	Limerick - Hell's Gate	5.2	337	0:33:32	142	159	6:27
2019-08-09 10:31	Limerick - Hell's Gate	5.2	358	0:33:12	148	160	6:23
2019-08-07 10:15	Limerick - Lakeshore Rd	5.97	401	0:41:40	138	168	6:59
2019-08-06 13:49	Limerick - Hell's Gate	5.36	350	0:33:05	146	164	6:11
2019-08-05 12:01	Limerick - Marathon Loop CW	3.32	249	0:23:26	145	155	7:04
2019-08-02 16:38	Limerick - Hell's Gate short	4.9	319	0:31:04	140	155	6:21
2019-08-01 10:42	Limerick - Hell's Gate	5.3	343	0:33:54	143	162	6:24
2019-07-31 10:28	Limerick Lake Rd 6k	6	368	0:35:10	142	161	5:52
2019-07-29 10:51	Limerick - Marathon 2 Loops	6.84	515	0:46:04	156	178	6:44
2019-07-28 10:39	Limerick Running	7.83	562	0:49:18	157	181	6:18
2019-07-27 15:09	Limerick - Marathon Loop CW	3.48	261	0:22:45	154	173	6:32
2019-07-17 10:24	Limerick Running	5.12	374	0:33:21	149	161	6:30
2019-07-15 9:53	Limerick - Marina run	9.27	628	0:57:50	149	167	6:14
2019-07-12 11:13	Library Run	6.61	401	0:37:45	143	170	5:43
2019-07-10 11:22	Limerick - 4K Double Back	4.07	264	0:28:38	135	154	7:02
2019-07-09 10:25	Limerick - Caverly Bay Loop	4.98	344	0:37:17	138	154	7:30
2019-07-03 9:28	Limerick - Caverly Bay Loop	5.37	365	0:31:18	154	168	5:49
2019-06-29 9:44	Limerick - Marathon Loop CW	3.38	276	0:23:37	159	178	6:59
2019-06-26 14:54	Lakeshore 5K - backroad	4.32	279	0:24:33	149	163	5:41
2019-06-25 11:56	Lucas Pt	5.59	366	0:32:47	147	159	5:52
2019-06-23 10:24	Library Run	6.63	418	0:38:18	146	175	5:46
2019-06-21 15:28	Oxford Cup	5.29	372	0:32:05	154	180	6:04
2019-06-12 14:43	Oxford Cup	4.46	293	0:26:28	147	161	5:56
2019-06-09 11:35	Limerick - Marathon Loop CW	3.41	244	0:22:21	149	169	6:33
2019-06-08 16:54	Limerick - Hell's Gate	5.2	355	0:31:53	151	165	6:08
2019-06-07 11:23	Port Hope Running	2.8	186	0:14:55	163	172	5:20
2019-06-01 10:57	Library Run	6.62	410	0:38:45	145	163	5:51
2019-05-20 13:30	Limerick Lake Rd - 62	5.96	393	0:35:26	149	163	5:57
2019-05-19 8:31	Limerick - Hell's Gate	5.29	376	0:33:28	157	174	6:20
2019-05-17 13:38	Lucas Pt	5.81	388	0:34:22	149	161	5:55
2019-05-07 15:50	5 FD Loops	4.92	306	0:27:09	150	165	5:31
2019-04-28 12:18	Lakeshore 5K - backroad	4.27	284	0:25:25	149	165	5:57
2019-04-25 15:03	4 FD Loops	4.3	284	0:24:41	154	168	5:44
2019-04-21 15:14	Lakeshore 5K	4.89	305	0:28:38	145	165	5:51
2019-04-07 10:30	Lucas Pt	5.48	374	0:32:44	152	164	5:58
2019-03-31 11:22	Brook Rd Long	7.5	524	0:47:25	149	162	6:19
2019-03-24 11:39	Lucas Pt Short	5.1	378	0:32:40	152	163	6:24
2019-03-22 8:08	Lakeshore 5K	4.92	352	0:29:38	154	170	6:02
2019-03-03 11:19	Lakeshore 5K	4.94	333	0:28:40	152	175	5:48
2019-02-18 11:34	Brook Rd Long	7.5	491	0:45:05	145	170	6:01
2019-02-16 10:55	Lakeshore 5K	4.94	318	0:26:13	155	175	5:19
2019-02-10 11:50	Library Run	6.64	447	0:38:13	150	164	5:45
2019-01-06 11:49	King St. Lakeshore	4.41	341	0:28:18	160	184	6:25
2019-01-04 14:41	Lakeshore 5K	4.91	358	0:32:17	149	171	6:35
2019-01-03 15:42	Hamilton Ave - 2 loops	4.32	285	0:26:01	148	168	6:01
2019-01-02 15:31	Lakeshore 5K	4.91	301	0:25:34	152	168	5:12
